Simulation,LL_Null,LL_Alternative,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative
126,618.847349788184,619.044255467584,0.393811358799212,0.0267605633802817,0.0295774647887324,0.00563380281690141,0.0266946080222757,0.0287696798341699,2,2
127,595.701395543785,596.533937862345,1.66508463711875,0.0211267605633803,0.0183098591549296,0.0140845070422535,0.0392535787361669,0.0358019768772595,2,2
128,635.831553949829,636.562181838547,1.46125577743578,0.0323943661971831,0.0267605633802817,0.0197183098591549,0.057198455039623,0.0407304466274021,2,2
129,604.877804385384,605.455801319543,1.155993868319,0.023943661971831,0.0267605633802817,0.0140845070422535,0.0431383459362504,0.039105063034796,1,2
130,638.141870727157,639.890898363487,3.49805527266062,0.0352112676056338,0.0295774647887324,0.0140845070422535,0.0390949065917404,0.0355019682773769,2,2
131,645.325346253121,645.650356264021,0.650020021800401,0.0408450704225352,0.0464788732394366,0.0112676056338028,0.0471664682862428,0.0486230378113147,2,2
132,607.297646407118,609.474810418572,4.35432802290711,0.0295774647887324,0.0211267605633803,0.0169014084507042,0.0671781361717403,0.0425948897683934,2,2
133,610.154855164619,610.424628141511,0.539545953783545,0.023943661971831,0.0295774647887324,0.00845070422535212,0.0266384793978063,0.024623019708409,2,2
134,616.564088867642,617.662652811782,2.19712788828087,0.0267605633802817,0.0295774647887324,0.0140845070422535,0.0298836612431332,0.0391171174456971,2,2
135,606.388167471082,608.143422877295,3.51051081242622,0.0211267605633803,0.0154929577464789,0.0140845070422535,0.0318943079860491,0.0346416672944765,2,2
136,593.503184665312,594.177233186869,1.34809704311556,0.0183098591549296,0.0154929577464789,0.0112676056338028,0.0225835092684286,0.0274438416692248,2,2
137,615.416684165613,615.72105232969,0.608736328155601,0.0267605633802817,0.0267605633802817,0.0169014084507042,0.0373031037393795,0.030552376516937,2,2
138,635.552605985289,635.75055345032,0.395894930063378,0.023943661971831,0.023943661971831,0.0028169014084507,0.0322461959393416,0.0342144064624457,2,2
139,629.902756089265,630.790167112981,1.77482204743183,0.0211267605633803,0.0183098591549296,0.0112676056338028,0.0305257379119753,0.0223983400127679,1,2
140,623.658800033758,624.222684134491,1.12776820146473,0.0211267605633803,0.0183098591549296,0.00563380281690141,0.0277148610947521,0.0287002442200085,2,2
141,613.897721308369,614.206740237188,0.618037857639365,0.0267605633802817,0.0267605633802817,0.00845070422535212,0.0334848810576553,0.0367731245620063,2,2
142,629.855763248622,632.315557680921,4.9195888645977,0.0267605633802817,0.0295774647887324,0.0140845070422535,0.027615712158352,0.0344598719654575,2,2
143,640.159485361317,641.236144230223,2.15331773781259,0.023943661971831,0.0183098591549296,0.0140845070422535,0.0338789822308841,0.0276868630445866,2,2
144,633.612583673029,634.952783729436,2.68040011281278,0.0408450704225352,0.0408450704225352,0.0112676056338028,0.0390480505748121,0.0446079103458353,1,2
